CLE,Win,WAS
MIA,Win,BOS
LAL,Loss,DAL
PHI,Win,DEN
TOR,Loss,IND
DET,Loss,HOU
CHI,Win,SAC
NO,Loss,SA
UTA,Win,DAL
PHO,Loss,GS
LAC,Win,MEM
POR,Win,LAL
SA,Win,OKC
ORL,Win,DEN
CHA,Win,IND
BOS,Loss,MIL
CLE,Loss,CHI
ATL,Loss,HOU
NY,Win,MIA
NO,Win,UTA
MIN,Win,SAC
OKC,Win,POR
PHO,Win,DET
LAL,Loss,LAC
GS,Loss,MEM
WAS,Loss,BOS
IND,Win,SAC
MIA,Win,DEN
BKN,Win,TOR
CHI,Loss,NO
HOU,Loss,POR
DAL,Win,CHA
MIL,Win,CLE
SA,Win,UTA
LAC,Loss,GS
NY,Win,PHI
ORL,Win,PHO
TOR,Win,MIN
OKC,Loss,ATL
LAL,Win,DET
PHI,Loss,NY
MIA,Win,PHO
BKN,Loss,MIN
MEM,Win,UTA
SA,Win,IND
DAL,Win,POR
SAC,Win,GS
LAC,Loss,CLE
CHI,Win,ORL
OKC,Win,TOR
DEN,Win,DET
CHA,Loss,PHO
MIA,Win,BKN
ATL,Win,IND
BOS,Win,WAS
NO,Loss,PHI
MIL,Loss,MEM
MIN,Win,ORL
HOU,Loss,DEN
DAL,Win,TOR
UTA,Win,LAL
SAC,Win,DET
GS,Win,CLE
LAC,Win,SA
CHI,Loss,OKC
POR,Loss,LAC
WAS,Loss,MIL
ORL,Loss,BKN
BOS,Loss,PHI
ATL,Loss,MIA
NY,Win,DAL
NO,Win,CHA
MIN,Win,IND
OKC,Win,DET
MEM,Win,HOU
PHO,Win,CLE
SAC,Loss,SA
DEN,Win,UTA
LAL,Win,GS
TOR,Loss,PHI
IND,Win,WAS
CHA,Win,DAL
HOU,Win,DET
CHI,Win,MIN
MIL,Loss,BOS
UTA,Win,PHO
POR,Loss,SA
GS,Loss,DEN
BKN,Win,ORL
LAC,Win,ATL
MEM,Win,MIA
OKC,Win,CLE
LAL,Win,SAC
PHI,Loss,MIL
TOR,Loss,UTA
DET,Loss,OKC
CHI,Loss,BOS
HOU,Loss,MIA
DAL,Loss,MIN
PHO,Win,DEN
POR,Loss,ATL
ORL,Loss,NY
IND,Loss,TOR
CHA,Win,WAS
BKN,Win,CLE
SAC,Loss,POR
LAL,Loss,SA
PHI,Loss,DET
BOS,Win,UTA
MIN,Loss,CHA
OKC,Loss,MEM
HOU,Win,NO
MIL,Win,IND
DAL,Win,WAS
PHO,Loss,CHI
GS,Win,ATL
LAC,Win,MIA
BKN,Win,BOS
SA,Loss,NY
DEN,Loss,MIA
PHI,Win,UTA
DET,Loss,ORL
IND,Win,DAL
NO,Loss,OKC
MIN,Loss,GS
MEM,Win,NY
SAC,Loss,ATL
POR,Win,HOU
LAL,Win,PHO
BOS,Win,TOR
LAC,Win,CHI
WAS,Loss,UTA
CHA,Loss,MEM
CLE,Loss,DAL
MIL,Win,NO
SA,Win,DEN
PHO,Loss,MIA
NY,Win,IND
TOR,Win,ORL
PHI,Win,CLE
SAC,Loss,BKN
OKC,Win,GS
DET,Win,BOS
POR,Win,CHI
LAL,Win,HOU
CHA,Win,MIL
WAS,Loss,IND
ATL,Win,ORL
MEM,Loss,DEN
SA,Loss,LAC
DAL,Loss,GS
UTA,Win,HOU
PHI,Win,TOR
NO,Loss,NY
LAL,Win,BKN
CLE,Win,PHI
IND,Win,NO
ORL,Win,DET
CHA,Win,TOR
MIA,Win,MIL
OKC,Win,LAC
BOS,Loss,SA
ATL,Win,WAS
HOU,Win,CHI
MIN,Loss,DEN
DAL,Win,NY
PHO,Win,POR
SAC,Win,LAL
GS,Win,BKN
ORL,Win,CLE
CHA,Loss,ATL
BKN,Win,LAC
DET,Win,TOR
BOS,Win,OKC
HOU,Win,NY
MEM,Win,LAL
IND,Loss,SA
PHO,Win,NO
UTA,Win,SAC
DEN,Win,GS
POR,Win,MIN
WAS,Loss,CHA
ATL,Win,LAC
PHI,Loss,OKC
MIA,Win,CLE
DAL,Loss,LAL
MIL,Loss,CHI
SAC,Win,UTA
GS,Win,MIN
NY,Win,DET
TOR,Loss,SA
BKN,Win,POR
ORL,Loss,BOS
PHI,Win,PHO
DEN,Win,NO
BKN,Win,NY
WAS,Loss,SA
DET,Win,POR
OKC,Win,CHA
CHI,Loss,MIL
MEM,Win,CLE
UTA,Win,DEN
LAC,Loss,NO
PHI,Win,DAL
CLE,Loss,PHO
HOU,Win,TOR
SAC,Loss,MIN
LAL,Loss,IND
ORL,Loss,SA
WAS,Win,POR
ATL,Win,CHA
BOS,Loss,BKN
DET,Win,PHO
NO,Loss,UTA
MIL,Loss,NY
CHI,Win,DAL
MEM,Win,TOR
OKC,Win,HOU
LAC,Win,MIN
MIA,Win,SA
GS,Win,DEN
CHA,Loss,PHI
ORL,Loss,BKN
TOR,Win,PHO
ATL,Loss,CLE
BOS,Win,POR
NY,Win,WAS
MIN,Win,MIL
OKC,Win,UTA
MEM,Win,DET
SAC,Loss,IND
LAL,Win,DEN
MIA,Win,BKN
CLE,Loss,POR
CHI,Win,PHI
HOU,Win,UTA
NO,Loss,OKC
MIL,Win,BOS
SA,Win,MEM
DAL,Win,DET
LAC,Win,SAC
GS,Win,IND
NY,Win,PHO
LAL,Loss,ORL
CHA,Loss,POR
DET,Win,CLE
NO,Win,MIL
UTA,Loss,LAC
DEN,Win,TOR
GS,Loss,ORL
WAS,Win,MIA
PHI,Loss,MIN
BKN,Loss,OKC
HOU,Win,LAL
CHI,Loss,IND
MEM,Win,PHO
CHA,Loss,NY
IND,Win,POR
ATL,Win,DEN
BOS,Win,MIN
DET,Loss,GS
CLE,Loss,CHI
NO,Loss,LAL
SA,Win,MIL
UTA,Win,ORL
SAC,Win,TOR
LAC,Win,DAL
MIA,Loss,NY
PHO,Loss,DAL
PHI,Win,BOS
IND,Loss,DEN
DET,Loss,CHI
BKN,Loss,GS
ATL,Win,WAS
MIN,Win,CLE
NO,Loss,MEM
MIL,Win,CHA
SA,Win,HOU
UTA,Win,TOR
OKC,Win,LAL
SAC,Win,ORL
LAC,Win,PHO
CHA,Loss,SA
WAS,Loss,GS
BOS,Win,PHI
MIA,Win,NO
CLE,Loss,DET
MEM,Loss,ATL
CHI,Win,NY
HOU,Loss,DAL
POR,Loss,SAC
LAC,Win,TOR
BKN,Loss,MIL
OKC,Win,IND
NY,Win,DEN
PHO,Loss,ORL
LAL,Loss,UTA
PHI,Win,DET
CHA,Loss,GS
MIA,Win,ATL
HOU,Loss,SA
DAL,Win,SAC
POR,Win,TOR
BKN,Loss,NY
CLE,Win,LAL
DET,Loss,DEN
NO,Loss,WAS
CHI,Loss,LAC
IND,Win,CLE
ORL,Loss,ATL
TOR,Loss,BKN
PHI,Loss,CHI
CHA,Loss,LAC
MIA,Loss,GS
OKC,Win,NO
MIL,Win,SAC
BOS,Win,DAL
MIN,Win,DEN
HOU,Win,WAS
PHO,Win,MEM
UTA,Win,SA
ATL,Win,CHA
NY,Win,LAL
POR,Win,SA
IND,Win,PHI
WAS,Loss,LAL
TOR,Win,DAL
CLE,Loss,MIL
BKN,Win,DET
HOU,Win,BOS
OKC,Win,SAC
NO,Loss,MIN
ORL,Win,GS
PHO,Win,UTA
DEN,Win,MEM
ATL,Loss,GS
NY,Win,CLE
CHA,Loss,ORL
DET,Loss,IND
MIA,Win,WAS
MIN,Win,DAL
CHI,Win,BKN
SA,Win,BOS
MIL,Loss,LAC
UTA,Loss,MEM
TOR,Win,HOU
PHI,Loss,LAL
SAC,Loss,DEN
POR,Win,NO
ORL,Win,MIN
DET,Loss,LAC
NY,Loss,HOU
MEM,Win,CHI
